date_publication,date_debut,heure_debut,date_fin,heure_fin,duree_minutes,annee,mois,jour_semaine,periode_journee,region,province,ville,zone,latitude,longitude,type_coupure,cause,statut,source_name,source_type,url_source,niveau_confiance,niveau_impact,temperature_max,precipitation,irradiation_solaire
2026-03-07,2026-03-07,08:00,2026-03-07,13:00,300,2026,3,Saturday,matin,Centre,,Ouagadougou,Tanghin,12.394,-1.525,prévue,Communiqué ou article collecté automatiquement,prévue,Wakat Séra 2026 Tanghin Gounghin,media,https://www.wakatsera.com/la-sonabel-annonce-une-coupure-dans-les-zones-de-tanghin-et-gounghin/,0.65,moyen,39.4,0.0,6.1661
2026-03-07,2026-03-07,08:00,2026-03-07,13:00,300,2026,3,Saturday,matin,Centre,,Ouagadougou,Gounghin,12.358,-1.543,prévue,Communiqué ou article collecté automatiquement,prévue,Wakat Séra 2026 Tanghin Gounghin,media,https://www.wakatsera.com/la-sonabel-annonce-une-coupure-dans-les-zones-de-tanghin-et-gounghin/,0.65,moyen,39.4,0.0,6.1661
2025-12-27,2025-12-27,08:00,2025-12-27,13:00,300,2025,12,Saturday,matin,Centre,,Ouagadougou,Ouagadougou,12.3714,-1.5197,prévue,Communiqué ou article collecté automatiquement,prévue,Wakat Séra 2025 vingtaine de zones,media,https://www.wakatsera.com/la-sonabel-annonce-une-coupure-de-courant-dans-une-vingtaine-de-zones/,0.65,moyen,35.4,0.0,5.8058
