titre,url,type_source,texte,heures_detectees,statut_collecte
La SONABEL annonce une coupure dans les zones de Tanghin et Gounghin,https://www.wakatsera.com/la-sonabel-annonce-une-coupure-dans-les-zones-de-tanghin-et-gounghin/,media,"La Société nationale d’électricité du Burkina (SONABEL) annonce une coupure de courant, le samedi 7 mars 2026, dans les zones de Tanghin et Gounghin de 8h à 13h.  OUAGADOUGOU METEO Site partenaire du football burkinabé et des bookmakers  africafoot.com – un site sur le marché des transferts de joueurs d’Afrique","[('8', '', '13', '')]",ok
La SONABEL annonce une coupure de courant dans une vingtaine de zones,https://www.wakatsera.com/la-sonabel-annonce-une-coupure-de-courant-dans-une-vingtaine-de-zones/,media,"La Société nationale d’électricité du Burkina (SONABEL) annonce dans un communiqué, des travaux d’entretien qui nécessiteront une suspension temporaire de la fourniture de l’électricité dans une vingtaine de zones, le samedi 27 décembre 2025 de 8h à 13h.  OUAGADOUGOU METEO Site partenaire du football burkinabé et des bookmakers  africafoot.com – un site sur le marché des transferts de joueurs d’Afrique","[('8', '', '13', '')]",ok
Newsletter LeFaso.net,https://lefaso.net/spip.php?article138282=,media,"Chaque matin, recevez gratuitement toute l'actualité du jour par mail. Inscrivez-vous à la newsletter. Publié le mercredi 21 mai 2025 à 11h00min La SONABEL informe ses abonnés que, suite à une panne survenue sur un équipement majeur le mardi 20 mai 2025 à 18 heures 56 minutes, la fourniture de l’électricité connaît des perturbations se traduisant par un déficit, principalement dans la soirée. La SONABEL, tout en s’excusant pour les désagréments résultant de cette situation, rassure ses abonnés que les dispositions sont prises pour minimiser l’ampleur et la durée de cet incident sur la qualité de la fourniture de l’électricité. Le Département Communication et Relations Publiques Ce forum est modéré a priori : votre contribution n’apparaîtra qu’après avoir été validée par les responsables. Pour créer des paragraphes, laissez simplement des lignes vides. Veuillez laisser ce champ vide :  Inscrivez vous et recevez l'actualité chaque matin L'abonnement est gratuit! Nous contacter Nos applications mobiles Android | iPhone Suivez nous sur les réseaux sociaux: ",[],ok
Sonabel | Ouagadougou,https://www.facebook.com/sonabelbf/,officielle,,[],ok
